Reading Fasta at /xdisk/bhurwitz/mattmiller899/new_phage_detection_benchmarks/data/zenodo_archive/test_dataset/test.fa...
Read Fasta entry frag_5_NC_002014.1, total 1 entries read
Read Fasta entry frag_230_NC_027355.1, total 2 entries read
Read Fasta entry frag_10_NC_033149.1, total 3 entries read
Read Fasta entry frag_98_NC_054782.1, total 4 entries read
Read Fasta entry frag_3_NC_005344.1, total 5 entries read
Read Fasta entry frag_6_NC_025454.1, total 6 entries read
Read Fasta entry frag_46_NC_041845.1, total 7 entries read
Read Fasta entry frag_1_NC_052456.1, total 8 entries read
Read Fasta entry frag_6_NC_033045.1, total 9 entries read
Read Fasta entry frag_1_NC_021341.1, total 10 entries read
Read Fasta entry frag_3_NC_032188.1, total 11 entries read
Read Fasta entry frag_194_NC_055142.1, total 12 entries read
Read Fasta entry frag_66_NC_047756.1, total 13 entries read
Read Fasta entry frag_22_NC_038287.1, total 14 entries read
Read Fasta entry frag_11_NC_006945.1, total 15 entries read
Read Fasta entry frag_8_NC_055542.1, total 16 entries read
Read Fasta entry frag_3_NC_055516.1, total 17 entries read
Read Fasta entry frag_99_NC_052467.1, total 18 entries read
Read Fasta entry frag_84_NC_047834.1, total 19 entries read
Read Fasta entry frag_15_NC_033081.1, total 20 entries read
Read Fasta entry frag_2_NC_040619.1, total 21 entries read
Read Fasta entry frag_4_NC_031753.1, total 22 entries read
Read Fasta entry frag_306_NC_049505.1, total 23 entries read
Read Fasta entry frag_81_NC_022981.1, total 24 entries read
Read Fasta entry frag_13_NC_053503.1, total 25 entries read
Read Fasta entry frag_4_NC_001556.1, total 26 entries read
Read Fasta entry frag_24_NC_025347.1, total 27 entries read
Read Fasta entry frag_35_NC_040625.1, total 28 entries read
Read Fasta entry frag_60_NC_052431.1, total 29 entries read
Read Fasta entry frag_5_NC_033245.1, total 30 entries read
Read Fasta entry frag_11_NC_038724.1, total 31 entries read
Read Fasta entry frag_54_NC_031938.1, total 32 entries read
Read Fasta entry frag_237_NC_055135.1, total 33 entries read
Read Fasta entry frag_2_NC_033255.1, total 34 entries read
Read Fasta entry frag_7_NC_025835.1, total 35 entries read
Read Fasta entry frag_1_NC_004090.1, total 36 entries read
Read Fasta entry frag_4_NC_038360.1, total 37 entries read
Read Fasta entry frag_26_NC_053003.1, total 38 entries read
Read Fasta entry frag_12_NC_040635.1, total 39 entries read
Read Fasta entry frag_39_NC_024370.1, total 40 entries read
Read Fasta entry frag_128_NC_041904.1, total 41 entries read
Read Fasta entry frag_9_NC_049819.1, total 42 entries read
Read Fasta entry frag_51_NC_022761.1, total 43 entries read
Read Fasta entry frag_213_NC_047736.1, total 44 entries read
Read Fasta entry frag_271_NC_024125.2, total 45 entries read
Read Fasta entry frag_2_NC_025705.1, total 46 entries read
Read Fasta entry frag_2_NC_040362.1, total 47 entries read
Read Fasta entry frag_30_NC_017980.1, total 48 entries read
Read Fasta entry frag_4_NC_028794.1, total 49 entries read
Read Fasta entry frag_7_NC_002363.1, total 50 entries read
Read Fasta entry frag_10_NC_054994.1, total 51 entries read
Read Fasta entry frag_12_NC_032975.1, total 52 entries read
Read Fasta entry frag_85_NC_019725.1, total 53 entries read
Read Fasta entry frag_38_NC_005831.2, total 54 entries read
Read Fasta entry frag_1_NC_026652.1, total 55 entries read
Read Fasta entry frag_4_NC_034615.1, total 56 entries read
Read Fasta entry frag_2_NC_029592.1, total 57 entries read
Read Fasta entry frag_15_NC_048817.1, total 58 entries read
Read Fasta entry frag_2_NC_023860.1, total 59 entries read
Read Fasta entry frag_1_NC_055112.1, total 60 entries read
Read Fasta entry frag_56_NC_018834.1, total 61 entries read
Read Fasta entry frag_2_NC_018226.1, total 62 entries read
Read Fasta entry frag_101_NC_031224.2, total 63 entries read
Read Fasta entry frag_166_NC_048730.1, total 64 entries read
Read Fasta entry frag_11_NC_028667.1, total 65 entries read
Read Fasta entry frag_64_NC_015249.1, total 66 entries read
Read Fasta entry frag_9_NC_034154.1, total 67 entries read
Read Fasta entry frag_36_NC_007149.1, total 68 entries read
Read Fasta entry frag_4_NC_025253.1, total 69 entries read
Read Fasta entry frag_1_NC_030463.1, total 70 entries read
Read Fasta entry frag_5_NC_043512.1, total 71 entries read
Read Fasta entry frag_7_NC_027122.1, total 72 entries read
Read Fasta entry frag_25_NC_038295.1, total 73 entries read
Read Fasta entry frag_22_NC_041892.1, total 74 entries read
Read Fasta entry frag_10_NC_032815.1, total 75 entries read
Read Fasta entry frag_2_NC_004285.1, total 76 entries read
Read Fasta entry frag_53_NC_028835.1, total 77 entries read
Read Fasta entry frag_16_NC_009758.1, total 78 entries read
Read Fasta entry frag_3_NC_040319.1, total 79 entries read
Read Fasta entry frag_6_NC_043484.1, total 80 entries read
Read Fasta entry frag_3_NC_037062.1, total 81 entries read
Read Fasta entry frag_9_NC_003635.1, total 82 entries read
Read Fasta entry frag_2_NC_040659.1, total 83 entries read
Read Fasta entry frag_38_NC_030904.1, total 84 entries read
Read Fasta entry frag_9_NC_033417.1, total 85 entries read
Read Fasta entry frag_7_NC_032637.1, total 86 entries read
Read Fasta entry frag_4_NC_027927.1, total 87 entries read
Read Fasta entry frag_91_NC_047841.1, total 88 entries read
Read Fasta entry frag_4_NC_017995.1, total 89 entries read
