#contigID	classification	ANI [%]	merged coverage [%]	number of hits	size[bp]
frag_5_NC_002014.1	phage	97.108	99.8	4	500
frag_230_NC_027355.1	phage	78.972	99.0	6	500
frag_10_NC_033149.1	negative	0	0	0	500
frag_98_NC_054782.1	phage	79.424	99.8	31	500
frag_3_NC_005344.1	phage	96.737	99.8	4	500
frag_6_NC_025454.1	phage	78.293	99.8	3	500
frag_46_NC_041845.1	phage	55.188	81.2	2	500
frag_1_NC_052456.1	phage	93.152	99.8	37	500
frag_6_NC_033045.1	negative	0	0	0	500
frag_1_NC_021341.1	negative	0	0	0	500
frag_3_NC_032188.1	negative	0	0	0	500
frag_194_NC_055142.1	negative	0	0	0	500
frag_66_NC_047756.1	negative	0	0	0	500
frag_22_NC_038287.1	negative	0	0	0	500
frag_11_NC_006945.1	phage	85.101	99.8	5	500
frag_8_NC_055542.1	negative	0	0	0	500
frag_3_NC_055516.1	phage	5.613	6.0	1	500
frag_99_NC_052467.1	phage	94.889	99.8	31	500
frag_84_NC_047834.1	phage	15.29	18.0	2	500
frag_15_NC_033081.1	negative	0	0	0	500
frag_2_NC_040619.1	negative	0	0	0	500
frag_4_NC_031753.1	negative	0	0	0	500
frag_306_NC_049505.1	phage	91.998	99.8	9	500
frag_81_NC_022981.1	phage	98.403	99.8	4	500
frag_13_NC_053503.1	phage	79.09	99.4	6	500
frag_4_NC_001556.1	negative	0	0	0	500
frag_24_NC_025347.1	negative	0	0	0	500
frag_35_NC_040625.1	phage	4.2	4.2	1	500
frag_60_NC_052431.1	phage	94.285	99.8	40	500
frag_5_NC_033245.1	negative	0	0	0	500
frag_11_NC_038724.1	negative	0	0	0	500
frag_54_NC_031938.1	phage	25.881	36.2	6	500
frag_237_NC_055135.1	negative	0	0	0	500
frag_2_NC_033255.1	negative	0	0	0	500
frag_7_NC_025835.1	negative	0	0	0	500
frag_1_NC_004090.1	negative	0	0	0	500
frag_4_NC_038360.1	negative	0	0	0	500
frag_26_NC_053003.1	phage	82.689	99.8	8	500
frag_12_NC_040635.1	phage	4.808	5.0	3	500
frag_39_NC_024370.1	phage	98.112	99.8	5	500
frag_128_NC_041904.1	phage	94.069	99.8	5	500
frag_9_NC_049819.1	phage	68.004	99.8	13	500
frag_51_NC_022761.1	phage	80.34	99.8	3	500
frag_213_NC_047736.1	phage	76.615	99.8	20	500
frag_271_NC_024125.2	phage	84.287	99.8	19	500
frag_2_NC_025705.1	negative	0	0	0	500
frag_2_NC_040362.1	negative	0	0	0	500
frag_30_NC_017980.1	phage	96.644	99.8	3	500
frag_4_NC_028794.1	phage	82.873	99.8	2	500
frag_7_NC_002363.1	phage	99.8	99.8	1	500
frag_10_NC_054994.1	phage	87.337	99.8	2	500
frag_12_NC_032975.1	negative	0	0	0	500
frag_85_NC_019725.1	phage	76.952	99.8	16	500
frag_38_NC_005831.2	negative	0	0	0	500
frag_1_NC_026652.1	negative	0	0	0	500
frag_4_NC_034615.1	negative	0	0	0	500
frag_2_NC_029592.1	negative	0	0	0	500
frag_15_NC_048817.1	phage	71.658	88.8	2	500
frag_2_NC_023860.1	negative	0	0	0	500
frag_1_NC_055112.1	negative	0	0	0	500
frag_56_NC_018834.1	phage	85.855	99.6	14	500
frag_2_NC_018226.1	negative	0	0	0	500
frag_101_NC_031224.2	negative	0	0	0	500
frag_166_NC_048730.1	negative	0	0	0	500
frag_11_NC_028667.1	phage	57.904	82.6	5	500
frag_64_NC_015249.1	phage	73.292	99.8	24	500
frag_9_NC_034154.1	negative	0	0	0	500
frag_36_NC_007149.1	phage	89.155	99.8	15	500
frag_4_NC_025253.1	negative	0	0	0	500
frag_1_NC_030463.1	negative	0	0	0	500
frag_5_NC_043512.1	negative	0	0	0	500
frag_7_NC_027122.1	negative	0	0	0	500
frag_25_NC_038295.1	negative	0	0	0	500
frag_22_NC_041892.1	phage	25.401	34.2	12	500
frag_10_NC_032815.1	negative	0	0	0	500
frag_2_NC_004285.1	negative	0	0	0	500
frag_53_NC_028835.1	phage	93.949	99.8	5	500
frag_16_NC_009758.1	negative	0	0	0	500
frag_3_NC_040319.1	negative	0	0	0	500
frag_6_NC_043484.1	negative	0	0	0	500
frag_3_NC_037062.1	negative	0	0	0	500
frag_9_NC_003635.1	negative	0	0	0	500
frag_2_NC_040659.1	negative	0	0	0	500
frag_38_NC_030904.1	phage	20.667	31.0	1	500
frag_9_NC_033417.1	negative	0	0	0	500
frag_7_NC_032637.1	negative	0	0	0	500
frag_4_NC_027927.1	negative	0	0	0	500
frag_91_NC_047841.1	phage	79.338	99.8	9	500
frag_4_NC_017995.1	phage	5.22	5.8	1	500
frag_3_NC_040818.1	negative	0	0	0	500
frag_77_NC_028927.1	phage	91.074	99.8	18	500
frag_73_NC_053014.1	negative	0	0	0	500
frag_7_NC_032871.1	negative	0	0	0	500
frag_14_NC_039230.1	negative	0	0	0	500
frag_3_NC_001469.1	negative	0	0	0	500
frag_87_NC_042333.1	phage	86.034	99.8	17	500
frag_27_NC_048748.1	phage	91.115	99.8	6	500
frag_11_NC_032484.1	negative	0	0	0	500
frag_1_NC_012671.1	negative	0	0	0	500
frag_244_NC_055231.1	negative	0	0	0	500
frag_1227_NC_017042.1	phage	6.638	8.2	3	500
frag_2963_NZ_CP013672.1	phage	5.425	6.2	1	500
frag_1836_NZ_CP031685.1	phage	6.227	7.2	1	500
frag_347_NZ_CP026592.1	phage	13.874	17.0	2	500
frag_2991_NZ_CP060719.1	negative	0	0	0	500
frag_2903_NZ_CP027006.1	negative	0	0	0	500
frag_37_NZ_CP029003.1	negative	0	0	0	500
frag_653_NC_020300.1	negative	0	0	0	500
frag_93_NZ_CP045136.1	negative	0	0	0	500
frag_117_NZ_CP011346.1	negative	0	0	0	500
frag_4320_NZ_CP063354.1	negative	0	0	0	500
frag_6182_NZ_CP048409.1	negative	0	0	0	500
frag_4204_NZ_CP034565.1	phage	9.246	12.0	1	500
frag_5385_NZ_CP045144.1	negative	0	0	0	500
frag_5334_NZ_CP030063.1	negative	0	0	0	500
frag_7517_NZ_CP069907.1	negative	0	0	0	500
frag_2056_NZ_CP013338.1	negative	0	0	0	500
frag_10627_NZ_CP037943.1	phage	80.928	99.8	24	500
frag_5478_NZ_CP046045.1	negative	0	0	0	500
frag_28_NZ_CP017422.1	negative	0	0	0	500
frag_2402_NZ_CP009930.1	negative	0	0	0	500
frag_10301_NZ_CP045298.1	negative	0	0	0	500
frag_7304_NZ_CP063759.1	negative	0	0	0	500
frag_918_NZ_CP065956.1	negative	0	0	0	500
frag_3400_NZ_CP015938.1	phage	5.214	5.6	1	500
frag_4893_NZ_CP070501.1	negative	0	0	0	500
frag_1286_NZ_CP009923.1	negative	0	0	0	500
frag_416_NZ_CP068157.1	negative	0	0	0	500
frag_3209_NZ_CP071869.1	negative	0	0	0	500
frag_347_NZ_CP035189.1	negative	0	0	0	500
frag_7644_NZ_CP063003.1	negative	0	0	0	500
frag_4795_NZ_CP046752.1	negative	0	0	0	500
frag_5591_NZ_CP063708.1	negative	0	0	0	500
frag_3402_NZ_CP049703.1	negative	0	0	0	500
frag_1819_NZ_LT962938.1	negative	0	0	0	500
frag_1655_NZ_CP010827.1	negative	0	0	0	500
frag_433_NZ_CP039250.1	phage	5.214	5.6	1	500
frag_6483_NZ_CP017593.1	negative	0	0	0	500
frag_1644_NC_014212.1	phage	9.163	11.8	3	500
frag_4883_NC_010473.1	phage	5.438	6.0	1	500
frag_4067_NZ_LR134474.1	phage	10.323	12.2	9	500
frag_1048_NZ_CP017617.1	negative	0	0	0	500
frag_808_NZ_LT906440.1	negative	0	0	0	500
frag_6804_NC_010002.1	negative	0	0	0	500
frag_4332_NZ_CP064049.1	phage	69.753	99.8	3	500
frag_2946_NZ_CP055233.1	negative	0	0	0	500
frag_4263_NZ_CP009550.1	negative	0	0	0	500
frag_451_NC_013940.1	phage	9.208	9.4	2	500
frag_3676_NZ_CP056245.1	phage	5.22	5.8	5	500
frag_7560_NZ_CP010595.1	negative	0	0	0	500
frag_505_NZ_CP038849.1	negative	0	0	0	500
frag_7035_NZ_LS483457.1	negative	0	0	0	500
frag_1220_NZ_CP019306.1	negative	0	0	0	500
frag_736_NC_007294.1	phage	14.877	18.4	2	500
frag_5426_NZ_CP046749.1	negative	0	0	0	500
frag_19_NC_009669.1	negative	0	0	0	500
frag_307_NZ_CP022946.1	phage	5.22	5.8	1	500
frag_3439_NZ_CP019981.1	phage	12.035	13.2	2	500
frag_7381_NZ_CP018027.1	negative	0	0	0	500
frag_1913_NZ_CP043382.1	negative	0	0	0	500
frag_702_NZ_CP046311.1	negative	0	0	0	500
frag_8_NZ_CP009415.1	negative	0	0	0	500
frag_578_NZ_CP023970.1	negative	0	0	0	500
frag_2654_NZ_LR134264.1	phage	13.969	17.0	3	500
frag_322_NZ_CP024073.1	negative	0	0	0	500
frag_8138_NZ_CP009771.1	phage	7.463	9.0	1	500
frag_5918_NC_017171.2	negative	0	0	0	500
frag_6241_NZ_CP031972.1	phage	4.608	4.8	1	500
frag_1082_NZ_LS483508.1	phage	16.395	20.8	3	500
frag_4550_NZ_CP034562.1	negative	0	0	0	500
frag_1776_NC_008600.1	negative	0	0	0	500
frag_440_NZ_CP047405.1	negative	0	0	0	500
frag_4239_NZ_CP020562.1	negative	0	0	0	500
frag_6410_NZ_LT827010.1	negative	0	0	0	500
frag_3198_NZ_CP058566.2	negative	0	0	0	500
frag_1373_NZ_CP009239.1	negative	0	0	0	500
frag_4927_NZ_LR134201.1	negative	0	0	0	500
frag_10438_NZ_CP008742.1	phage	24.429	29.2	4	500
frag_1807_NZ_CP050124.1	negative	0	0	0	500
frag_799_NZ_CP039908.1	phage	5.818	6.4	1	500
frag_3902_NZ_CP019624.1	negative	0	0	0	500
frag_5374_NZ_CP022794.1	negative	0	0	0	500
frag_1304_NZ_CP018867.1	negative	0	0	0	500
frag_2121_NZ_CP021644.1	phage	6.032	7.2	1	500
frag_4160_NZ_CP051468.1	negative	0	0	0	500
frag_769_NZ_CP019323.1	phage	5.647	6.4	3	500
frag_1211_NZ_CP032626.1	negative	0	0	0	500
frag_11543_NZ_CP017149.1	phage	10.098	11.2	2	500
frag_4512_NC_014924.1	negative	0	0	0	500
frag_7011_NZ_CP047146.1	phage	7.15	8.8	1	500
